val_acc,test_acc,strategy,scope,width,damp
82.89,77.86,converged,27,3,0.1
82.68,77.72,toeplitz,45,3,0.2
82.65,77.68,converged,27,8,0.1
82.6,77.59,converged,63,4,0.1
82.43,77.47,converged,27,8,0.14
82.4,77.53,converged,27,6,0.1
82.4,77.49,toeplitz,27,6,0.1
82.4,77.84,converged,45,8,0.16
82.32,77.37,converged,45,10,0.14
82.29,77.86,converged,27,3,0.2
82.28,77.82,converged,45,4,0.2
82.25,77.37,converged,45,4,0.1
82.19,77.39,converged,27,10,0.14
82.19,77.56,toeplitz,45,4,0.2
82.18,77.32,converged,63,10,0.1
82.16,77.25,converged,9,10,0.16
82.16,76.98,toeplitz,9,10,0.2
82.16,76.84,toeplitz,9,8,0.14
82.15,77.91,toeplitz,9,10,0.16
82.15,77.61,converged,45,10,0.2
82.14,77.16,toeplitz,27,8,0.1
82.11,77.27,toeplitz,27,3,0.1
82.11,77.14,converged,9,6,0.12
82.11,77.07,toeplitz,27,3,0.2
82.1,77.46,converged,45,6,0.14
82.07,77.2,converged,9,8,0.2
82.06,77.31,converged,9,10,0.2
82.04,77.2,converged,9,4,0.16
82.0,77.47,converged,27,10,0.1
81.98,77.4,toeplitz,45,4,0.1
81.97,77.53,converged,63,8,0.16
81.95,77.21,converged,45,3,0.2
81.93,77.48,toeplitz,9,3,0.12
81.9,77.48,converged,45,10,0.16
81.89,76.9,toeplitz,63,10,0.1
81.88,76.93,toeplitz,45,10,0.14
81.86,77.09,toeplitz,9,4,0.16
81.85,77.09,toeplitz,9,3,0.1
81.85,77.26,converged,63,3,0.12
81.82,77.31,toeplitz,27,10,0.1
81.8,76.78,toeplitz,63,3,0.12
81.8,77.14,converged,9,8,0.14
81.79,77.03,toeplitz,45,10,0.16
81.76,77.69,toeplitz,9,10,0.14
81.75,77.5,converged,9,3,0.12
81.73,77.29,toeplitz,63,4,0.1
81.7,77.35,converged,27,6,0.2
81.7,77.26,converged,63,8,0.2
81.66,77.01,toeplitz,9,6,0.12
81.63,76.99,toeplitz,45,6,0.14
81.58,76.59,converged,9,10,0.14
81.56,76.8,converged,9,3,0.1
81.49,76.86,toeplitz,27,8,0.14
81.46,76.96,toeplitz,9,8,0.2
81.45,77.07,toeplitz,45,8,0.16
81.27,77.03,toeplitz,63,8,0.16
80.97,76.61,toeplitz,27,6,0.2
80.51,76.07,toeplitz,45,10,0.2
80.36,76.23,toeplitz,27,10,0.14
79.72,75.74,toeplitz,63,8,0.2
