val_acc,test_acc,strategy,scope,width,damp
78.97,77.82,toeplitz,27,3,0.1
78.66,77.8,toeplitz,27,10,0.14
78.65,78.04,converged,9,3,0.1
78.53,78.37,converged,45,10,0.14
78.5,77.86,converged,45,10,0.2
78.49,78.13,converged,45,4,0.2
78.38,77.95,toeplitz,27,6,0.2
78.36,76.64,converged,27,8,0.1
78.34,77.7,toeplitz,63,3,0.12
78.32,76.98,once_learned,63,8,0.2
78.32,77.68,toeplitz,45,10,0.14
78.3,77.42,converged,9,10,0.16
78.27,77.9,converged,45,4,0.1
78.26,76.76,once_learned,45,8,0.16
78.26,77.52,converged,45,6,0.14
78.22,77.91,toeplitz,45,4,0.1
78.21,77.79,converged,27,6,0.2
78.2,77.58,toeplitz,27,3,0.2
78.14,77.55,once_learned,27,3,0.1
78.12,76.96,once_learned,27,6,0.2
78.12,77.1,once_learned,9,3,0.12
78.11,77.17,converged,27,3,0.1
78.03,77.34,once_learned,45,3,0.2
78.02,77.48,toeplitz,9,10,0.16
77.99,77.48,once_learned,27,3,0.2
77.99,77.22,converged,27,6,0.1
77.94,77.83,toeplitz,27,8,0.1
77.94,77.36,converged,9,6,0.12
77.94,77.5,once_learned,27,8,0.14
77.92,77.25,toeplitz,27,8,0.14
77.87,77.34,once_learned,63,4,0.1
77.84,77.09,once_learned,27,8,0.1
77.83,78.02,once,27,3,0.1
77.83,76.87,toeplitz,45,6,0.14
77.81,77.16,converged,9,10,0.2
77.8,77.27,converged,45,10,0.16
77.8,77.15,once_learned,45,10,0.16
77.8,77.18,toeplitz,45,8,0.16
77.79,77.4,converged,9,4,0.16
77.78,77.46,once_learned,45,10,0.2
77.78,76.76,toeplitz,9,3,0.12
77.76,77.28,once_learned,27,6,0.1
77.76,76.52,once,63,4,0.1
77.75,77.38,converged,63,3,0.12
77.72,77.43,toeplitz,63,4,0.1
77.7,78.05,converged,63,4,0.1
77.7,77.31,toeplitz,63,10,0.1
77.69,77.27,once_learned,45,4,0.2
77.66,77.36,toeplitz,9,4,0.16
77.63,77.24,once_learned,9,8,0.14
77.63,76.73,once_learned,9,8,0.2
77.59,77.24,converged,27,10,0.1
77.58,76.95,toeplitz,45,10,0.16
77.58,77.48,converged,63,8,0.16
77.55,77.32,converged,45,8,0.16
77.51,77.16,converged,27,10,0.14
77.5,77.38,converged,63,10,0.1
77.49,77.71,converged,45,3,0.2
77.45,76.22,converged,63,8,0.2
77.43,76.72,toeplitz,9,6,0.12
77.39,77.18,toeplitz,45,4,0.2
77.35,76.18,toeplitz,9,8,0.2
77.35,76.89,once_learned,45,4,0.1
77.34,77.23,once_learned,63,10,0.1
77.33,76.38,converged,9,10,0.14
77.32,77.32,converged,9,3,0.12
77.32,76.83,converged,9,8,0.14
77.32,76.84,once_learned,45,6,0.14
77.31,76.48,once,45,4,0.1
77.28,77.06,once_learned,45,10,0.14
77.27,76.94,once_learned,9,10,0.16
77.25,77.2,once,27,3,0.2
77.23,76.84,toeplitz,9,10,0.2
77.22,76.66,once,45,3,0.2
77.2,76.65,toeplitz,9,10,0.14
77.19,76.27,once_learned,9,4,0.16
77.18,76.87,once_learned,9,10,0.14
77.14,77.12,toeplitz,9,3,0.1
77.14,77.11,once,9,4,0.16
77.11,76.96,toeplitz,63,8,0.16
77.1,76.4,once_learned,27,10,0.1
77.1,77.34,once_learned,63,3,0.12
77.09,76.86,converged,27,8,0.14
77.07,76.94,once_learned,9,10,0.2
77.06,76.81,toeplitz,27,6,0.1
77.05,77.27,converged,27,3,0.2
76.95,77.26,once_learned,63,8,0.16
76.92,76.53,toeplitz,63,8,0.2
76.92,75.92,once_learned,9,6,0.12
76.91,77.26,once,9,3,0.1
76.79,76.37,toeplitz,45,10,0.2
76.78,75.99,once,63,3,0.12
76.77,76.55,toeplitz,9,8,0.14
76.76,76.45,once,9,3,0.12
76.76,76.79,once_learned,9,3,0.1
76.68,76.03,converged,9,8,0.2
76.67,76.41,toeplitz,45,3,0.2
76.66,76.05,once,9,8,0.14
76.65,76.7,toeplitz,27,10,0.1
76.6,76.2,once,27,8,0.14
76.58,76.14,once,27,6,0.1
76.53,75.52,once,27,6,0.2
76.53,75.1,once,9,6,0.12
76.52,75.54,once,9,8,0.2
76.49,75.68,once_learned,27,10,0.14
76.3,76.15,once,9,10,0.2
76.27,75.41,once,27,8,0.1
76.11,75.9,once,45,4,0.2
75.86,75.55,once,9,10,0.14
75.84,75.88,once,45,10,0.14
75.7,75.51,once,9,10,0.16
75.57,75.53,once,45,10,0.2
75.4,74.64,once,45,6,0.14
75.21,74.04,once,27,10,0.14
75.06,75.06,once,45,10,0.16
74.69,74.72,once,63,10,0.1
74.66,74.04,once,63,8,0.2
74.52,74.51,once,45,8,0.16
74.05,74.48,once,63,8,0.16
73.87,73.35,once,27,10,0.1
