val_acc,test_acc,strategy,scope,width,damp
82.89,77.69,converged,63.0,10.0,0.1
82.79,77.88,converged,27.0,8.0,0.1
82.63,77.59,converged,27.0,8.0,0.14
82.61,77.98,converged,45.0,10.0,0.14
82.57,77.83,toeplitz,45.0,10.0,0.14
82.56,77.65,toeplitz,45.0,3.0,0.2
82.5,77.88,converged,27.0,3.0,0.1
82.49,77.3,converged,45.0,8.0,0.16
82.46,77.26,converged,63.0,4.0,0.1
82.46,77.4,toeplitz,9.0,3.0,0.12
82.45,78.35,toeplitz,27.0,3.0,0.2
82.42,77.99,converged,27.0,6.0,0.1
82.41,78.08,converged,45.0,4.0,0.1
82.34,76.95,converged,9.0,10.0,0.2
82.23,77.49,toeplitz,45.0,4.0,0.2
82.22,77.93,converged,27.0,10.0,0.1
82.21,78.02,converged,9.0,10.0,0.16
82.19,78.19,toeplitz,45.0,4.0,0.1
82.18,78.13,converged,27.0,3.0,0.2
82.13,77.51,converged,9.0,6.0,0.12
82.13,76.88,converged,9.0,8.0,0.2
82.12,76.93,toeplitz,9.0,8.0,0.14
82.08,77.55,converged,45.0,4.0,0.2
82.07,77.6,converged,9.0,8.0,0.14
82.03,77.64,converged,45.0,6.0,0.14
82.02,77.97,toeplitz,27.0,3.0,0.1
81.97,77.31,toeplitz,9.0,10.0,0.2
81.92,76.88,converged,27.0,10.0,0.14
81.91,77.3,toeplitz,45.0,6.0,0.14
81.9,77.49,converged,63.0,3.0,0.12
81.86,77.4,toeplitz,27.0,6.0,0.1
81.85,77.15,converged,9.0,3.0,0.12
81.84,77.61,converged,63.0,8.0,0.16
81.83,77.82,converged,45.0,10.0,0.2
81.8,76.94,converged,45.0,3.0,0.2
81.8,77.15,converged,9.0,4.0,0.16
81.79,77.41,converged,63.0,8.0,0.2
81.79,77.48,converged,45.0,10.0,0.16
81.74,77.04,toeplitz,63.0,3.0,0.12
81.72,77.96,toeplitz,9.0,10.0,0.16
81.71,77.47,toeplitz,45.0,10.0,0.16
81.69,77.24,toeplitz,27.0,10.0,0.1
81.64,77.01,toeplitz,9.0,10.0,0.14
81.57,76.69,toeplitz,27.0,8.0,0.1
81.5,76.66,toeplitz,63.0,10.0,0.1
81.39,76.25,toeplitz,9.0,6.0,0.12
81.37,77.21,toeplitz,63.0,8.0,0.16
81.27,76.67,toeplitz,27.0,10.0,0.14
81.27,76.3,converged,9.0,10.0,0.14
81.22,76.77,toeplitz,63.0,4.0,0.1
81.21,76.77,toeplitz,9.0,3.0,0.1
81.2,76.51,toeplitz,27.0,8.0,0.14
81.14,77.2,converged,27.0,6.0,0.2
81.0,76.38,toeplitz,9.0,8.0,0.2
80.99,76.15,toeplitz,9.0,4.0,0.16
80.8,76.32,toeplitz,45.0,8.0,0.16
80.74,76.63,converged,9.0,3.0,0.1
80.51,75.98,toeplitz,45.0,10.0,0.2
80.48,76.36,toeplitz,27.0,6.0,0.2
79.64,75.52,toeplitz,63.0,8.0,0.2
