val_acc,test_acc,strategy,scope,width,damp
83.02,78.02,converged,27,3,0.1
82.7,77.71,converged,63,4,0.1
82.69,77.47,converged,27,8,0.14
82.61,77.89,toeplitz,45,3,0.2
82.54,77.17,toeplitz,9,8,0.14
82.52,77.72,converged,27,8,0.1
82.51,77.6,toeplitz,45,10,0.14
82.5,77.57,converged,27,6,0.1
82.44,77.56,converged,63,10,0.1
82.4,78.1,converged,27,3,0.2
82.36,77.56,converged,9,10,0.16
82.26,77.43,toeplitz,27,3,0.2
82.25,77.78,converged,45,6,0.14
82.22,77.4,converged,45,4,0.1
82.22,77.74,converged,45,8,0.16
82.19,77.22,toeplitz,9,10,0.2
82.19,77.55,converged,45,4,0.2
82.17,77.77,converged,27,10,0.1
82.12,77.6,converged,45,10,0.2
82.11,77.61,toeplitz,45,4,0.2
82.1,77.32,converged,9,10,0.2
82.08,77.19,converged,45,10,0.14
82.01,77.5,converged,45,10,0.16
82.01,77.54,toeplitz,45,4,0.1
82.0,77.36,converged,9,6,0.12
82.0,77.78,toeplitz,9,10,0.16
81.99,77.22,toeplitz,27,8,0.1
81.98,77.16,converged,27,10,0.14
81.96,77.03,converged,9,4,0.16
81.94,77.35,toeplitz,27,3,0.1
81.92,77.45,converged,63,3,0.12
81.9,77.46,toeplitz,27,6,0.1
81.85,77.26,converged,63,8,0.16
81.85,77.11,toeplitz,9,3,0.12
81.82,77.18,converged,9,8,0.14
81.79,77.33,toeplitz,9,10,0.14
81.76,77.26,converged,9,3,0.12
81.74,76.78,converged,9,8,0.2
81.71,76.81,converged,9,10,0.14
81.66,77.09,toeplitz,45,10,0.16
81.66,76.54,toeplitz,63,10,0.1
81.65,77.17,converged,45,3,0.2
81.65,77.06,toeplitz,9,4,0.16
81.62,76.97,toeplitz,63,3,0.12
81.62,77.19,toeplitz,27,10,0.1
81.6,77.0,toeplitz,9,3,0.1
81.54,77.51,converged,27,6,0.2
81.5,77.4,toeplitz,63,4,0.1
81.48,77.34,toeplitz,63,8,0.16
81.48,76.84,toeplitz,27,8,0.14
81.47,77.0,toeplitz,45,6,0.14
81.43,77.08,converged,63,8,0.2
81.43,76.69,toeplitz,9,8,0.2
81.42,76.7,toeplitz,9,6,0.12
81.35,76.94,toeplitz,45,8,0.16
81.18,76.61,converged,9,3,0.1
80.55,76.25,toeplitz,45,10,0.2
80.41,76.3,toeplitz,27,6,0.2
80.02,75.86,toeplitz,27,10,0.14
79.78,75.61,toeplitz,63,8,0.2
