val_acc,test_acc,strategy,scope,width,damp
83.54,78.16,converged,27.0,3.0,0.1
82.97,77.41,toeplitz,9.0,8.0,0.14
82.95,78.16,converged,63.0,4.0,0.1
82.75,77.36,converged,27.0,8.0,0.14
82.66,78.12,toeplitz,45.0,3.0,0.2
82.62,78.06,converged,27.0,3.0,0.2
82.58,77.15,converged,27.0,6.0,0.1
82.51,77.1,converged,9.0,10.0,0.16
82.47,77.92,converged,45.0,6.0,0.14
82.46,77.37,toeplitz,45.0,10.0,0.14
82.42,77.39,converged,45.0,10.0,0.2
82.41,77.14,toeplitz,9.0,10.0,0.2
82.41,77.74,toeplitz,27.0,8.0,0.1
82.31,77.97,toeplitz,9.0,4.0,0.16
82.3,77.55,converged,45.0,4.0,0.2
82.29,77.59,toeplitz,9.0,10.0,0.16
82.24,77.57,converged,27.0,8.0,0.1
82.23,77.53,converged,45.0,10.0,0.16
82.15,77.31,converged,9.0,10.0,0.14
82.13,76.91,converged,9.0,4.0,0.16
82.12,77.61,converged,27.0,10.0,0.1
82.07,76.51,toeplitz,27.0,3.0,0.2
82.05,77.44,converged,27.0,10.0,0.14
82.03,76.71,converged,45.0,4.0,0.1
82.0,77.23,toeplitz,9.0,3.0,0.1
81.99,77.73,toeplitz,45.0,4.0,0.2
81.99,77.43,converged,63.0,10.0,0.1
81.96,78.17,converged,45.0,8.0,0.16
81.95,77.52,toeplitz,27.0,6.0,0.1
81.95,77.82,converged,27.0,6.0,0.2
81.94,77.41,converged,63.0,3.0,0.12
81.94,77.65,toeplitz,9.0,10.0,0.14
81.9,77.55,toeplitz,45.0,8.0,0.16
81.87,77.2,converged,9.0,6.0,0.12
81.86,76.9,converged,63.0,8.0,0.16
81.86,77.0,toeplitz,9.0,8.0,0.2
81.85,77.69,converged,9.0,10.0,0.2
81.85,76.74,toeplitz,27.0,3.0,0.1
81.83,76.89,toeplitz,45.0,4.0,0.1
81.81,76.42,toeplitz,63.0,10.0,0.1
81.78,78.04,toeplitz,63.0,4.0,0.1
81.77,77.18,toeplitz,27.0,8.0,0.14
81.68,77.38,converged,9.0,3.0,0.12
81.62,76.7,toeplitz,45.0,10.0,0.16
81.61,76.59,converged,9.0,3.0,0.1
81.59,77.47,toeplitz,63.0,8.0,0.16
81.57,76.77,converged,9.0,8.0,0.14
81.56,76.41,converged,45.0,10.0,0.14
81.55,77.14,toeplitz,27.0,10.0,0.1
81.5,76.91,toeplitz,63.0,3.0,0.12
81.5,77.4,converged,45.0,3.0,0.2
81.46,77.16,toeplitz,9.0,6.0,0.12
81.36,76.67,converged,9.0,8.0,0.2
81.25,76.82,toeplitz,9.0,3.0,0.12
81.07,76.75,converged,63.0,8.0,0.2
81.04,76.71,toeplitz,45.0,6.0,0.14
80.59,76.52,toeplitz,45.0,10.0,0.2
80.34,76.23,toeplitz,27.0,6.0,0.2
79.91,75.7,toeplitz,63.0,8.0,0.2
78.77,75.04,toeplitz,27.0,10.0,0.14
